,genre,artist,song,lyrics,wordcount,nostopwordcount,positivewordcount,negativewordcount,neutralwordcount
0,Christian,Glory Revealed,By His Wounds,glory revealed by his wounds he was pierced for our transgressions he was crushed for our sins the punishment that brought us peace was upon him and by his wounds by his wounds we are healed he was pierced for our transgressions he was crushed for our sins the punishment that brought us peace was upon him and by his wounds by his wounds we are healed we are healed by your sacrifice and the life that you gave we are healed for you paid the price by your grace we are saved we are saved he was pierced for our transgressions and crushed for our sins the punishment that brought us peace was upon him and by his wounds by his wounds we are healed we are healed by your sacrifice and the life that you gave we are healed for you paid the price by your grace we are saved we are saved he was pierced for our transgressions he was crushed for our sins the punishment that brought us peace was upon him and by his wounds by his wounds we are healed and by his wounds by his wounds what can wash away my sin nothing but the blood of jesus,205,79,7,16,56
1,Christian,Caedmon's Call,God of Wonders,lord of heaven and earth lord of all creation lord of heaven and earth lord of all creation of water earth and sky the heavens are your tabernacle glory to the lord on high god of wonders beyond our galaxy you are holy holy the universe declares your majesty you are holy holy lord of heaven and earth lord of heaven and earth early in the morning i will celebrate the light when i stumble in the darkness i will call your name by night god of wonders beyond our galaxy you are holy holy the universe declares your majesty you are holy holy lord of heaven and earth lord of heaven and earth hallelujah to the lord of heaven and earth hallelujah to the lord of heaven and earth hallelujah to the lord of heaven and earth holy holy god of wonders beyond our galaxy you are holy holy the universe declares your majesty you are holy holy lord of heaven and earth lord of heaven and earth hallelujah to the lord of heaven and earth hallelujah to the lord of heaven and earth hallelujah to the lord of heaven and earth hallelujah to the lord of heaven and earth hallelujah to the lord of heaven and earth hallelujah to the lord of heaven and earth,217,116,39,2,75
2,Christian,MercyMe,I Can Only Imagine,i can only imagine what it will be like when i walk by your side i can only imagine what my eyes will see when your face is before me i can only imagine yeah surrounded by your glory what will my heart feel will i dance for you jesus or in awe of you be still will i stand in your presence or to my knees will i fall will i sing hallelujah will i be able to speak at all i can only imagine i can only imagine i can only imagine when that day comes and i find myself standing in the sun i can only imagine when all i will do is forever forever worship you i can only imagine yeah i can only imagine surrounded by your glory what will my heart feel will i dance for you jesus or in awe of you be still will i stand in your presence or to my knees will i fall will i sing hallelujah will i be able to speak at all i can only imagine i can only imagine surrounded by your glory what will my heart feel will i dance for you jesus or in awe of you be still will i stand in your presence or to my knees will i fall will i sing hallelujah will i be able to speak at all i can only imagine yeah i can only imagine i can only imagine yeah i can only imagine i can only imagine i can only imagine i can only imagine when all i would do is forever forever worship you i can only imagine,275,89,7,3,79
3,Christian,Aaron Shust,My Savior My God,i am not skilled to understand what god has willed what god has planned i only know at his right hand stands one who is my savior i take him at his word and deed christ died to save me this i read and in my heart i find a need of him to be my savior that he would leave his place on high and come for sinful man to die you count it strange so once did i before i met my savior my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be yes living dying let me bring my strength my solace from this spring that he who lives to be my king once died to be my savior that he would leave his place on high and come for sinful man to die you count it strange so once did i before i knew my savior my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be my savior loves my savior lives my saviors always there for me my god he was my god he is my god hes always gonna be my savior lives my savior loves my savior lives my savior loves my savior lives,371,173,39,9,125
4,Christian,Michael W. Smith,Breathe,this is the air i breathe this is the air i breathe your holy presence living in me this is my daily bread this is my daily bread your very word spoken to me and i im desperate for you and i im lost without you this is the air i breathe this is the air i breathe your holy presence living in me this is my daily bread this is my daily bread your very word spoken to me and i im desperate for you and i im lost without you and i im desperate for you and i im lost without you im lost without you im lost without you im desperate for you cry out to him im desperate for you cry out to you im desperate for you well im lost without you now im desperate for you im desperate for you im lost im lost im lost without you lord yea im lost without you im lost without you im lost without you im desperate for you how many of you are hungry for god are you hungry for him i want more of him who wants the flood gates to open up,198,92,3,23,66
5,Christian,Chris Tomlin,How Great Is Our God,we do not have the lyrics for how great is our god yet,13,4,1,0,3
6,Christian,Laura Story,Mighty To Save,everyone needs compassion a love thats never failing let mercy fall on me everyone needs forgiveness a kindness of a savior the hope of nations savior he can move the mountains my god is mighty to save he is mighty to save forever author of salvation he rose and conquered the grave jesus conquered the grave so take me as you find me all my fears and failures fill my life again i give my life to follow everything i believe in now i surrender yes i surrender savior he can move the mountains my god is mighty to save he is mighty to save forever author of salvation he rose and conquered the grave jesus conquered the grave shine your light and let the whole world see were singing for the glory of the risen king jesus shine your light and let the whole world see were singing for the glory of the risen king jesus savior he can move the mountains my god is mighty to save he is mighty to save forever author of salvation he rose and conquered the grave jesus conquered the grave savior you can move the mountains god you are mighty to save yes you are mighty to save forever author of salvation you rose and conquered the grave yes you conquered the grave you were mighty to save,226,124,22,6,96
7,Christian,Tree63,Blessed Be Your Name,blessed be your name in the land that is plentiful where the streams of abundance flow blessed be your name blessed be your name when im found in the desert place though i walk through the wilderness blessed be your name every blessing you pour out ill turn back to praise when the darkness closes in lord still i will say blessed be the name of the lord blessed be your name blessed be the name of the lord blessed be your glorious name blessed be your name when the suns shining down on me when the worlds all as it should be blessed be your name blessed be your name on the road marked with suffering though theres pain in the offering blessed be your name every blessing you pour out ill turn back to praise when the darkness closes in lord still i will say blessed be the name of the lord blessed be your name blessed be the name of the lord blessed be your glorious name you give and take away you give and take away my heart will choose to say lord blessed be your name every blessing you pour out ill turn back to praise when the darkness closes in lord still im gonna say blessed be the name of the lord blessed be your name blessed be the name of the lord blessed be your glorious name blessed be the name of the lord blessed be your name blessed be the name of the lord blessed be your glorious name you give and take away you give and take away my heart will choose to say lord blessed be your name,279,145,12,6,127
8,Christian,Chris Tomlin,Holy Is the Lord,we do not have the lyrics for holy is the lord yet,12,4,1,0,3
9,Christian,Casting Crowns,East To West,east to west here i am lord and im drowning in your sea of forgetfulness the chains of yesterday surround me i yearn for peace and rest i dont want to end up where you found me and it echoes in my mind keeps me awake tonight i know youve cast my sin as far as the east is from the west and i stand before you now as though ive never sinned but today i feel like im just one mistake away from you leaving me this way jesus can you show me just how far the east is from the west cause i cant bear to see the man ive been rising up in me again in the arms of your mercy i find rest you know just how far the east is from the west from one scarred hand to the other i start the day the war begins endless reminding of my sin and time and time again your truth is drowned out by the storm im in today i feel like im just one mistake away from you leaving me this way jesus can you show me just how far the east is from the west cause i cant bear to see the man ive been come rising up in me again in the arms of your mercy i find rest cause you know just how far the east is from the west from one scarred hand to the other i know youve washed me white turned my darkness into light i need your peace to get me through to get me through this night i cant live by what i feel about the truth your word reveals and im not holding onto you but youre holding onto me youre holding onto me jesus you know just how far the east is from the west i dont have to see the man ive been come rising up in me again in the arms of your mercy i find rest mercy i find rest you know just how far the east is from the west from one scarred hand to the other just how far the east is from the west just how far from one scarred hand to the other you know just how far the east is from the west just how far from one scarred hand to the other,396,180,8,12,160
10,Christian,Switchfoot,Always,this is the start this is your heart this is the day you were born this is the sun these are your lungs this is the day you were born and i am always always always yours i am always always always yours these are the scars deep in your heart this is the place you were born this is the hole where most of your soul comes ripping out from the places youve been torn and it is always always always yours i am always always always yours hallelujah im caving in hallelujah im in love again hallelujah im a wretched man hallelujah every breath is a second chance yeah and it is always always always yours i am always always always yours always always always yours always always always yours juro que amo todas tus carencias aunque aprueben mi paciencia amo todo si es contigo,147,75,1,2,72
11,Christian,MercyMe,Bring The Rain,i can count a million times people asking me how i can praise you with all that ive gone through the question just amazes me can circumstances possibly change who i forever am in you maybe since my life was changed long before these rainy days its never really ever crossed my mind to turn my back on you oh lord my only shelter from the storm but instead i draw closer through these times so i pray bring me joy bring me peace bring the chance to be free bring me anything that brings you glory and i know therell be days when this life brings me pain but if thats what it takes to praise you jesus bring the rain i am yours regardless of the dark clouds that may loom above because you are much greater than my pain so i pray bring me joy bring me peace bring the chance to be free bring me anything that brings you glory and i know therell be days when this life brings me pain but if thats what it takes to praise you jesus bring the rain holy holy holy holy holy holy is the lord god almighty is the lord god almighty and i forever sing holy holy holy holy holy holy is the lord god almighty is the lord god almighty everybody sing it holy holy holy holy holy holy is the lord god almighty is the lord god almighty you are holy you are holy lord you are holy is the lord our god is the lord our god almighty yeah yeah yeah everybody sing it holy you are holy oh holy holy holy yeah yeah yeah is the lord god almighty is the lord god almighty yeah yeah yeah yeah holy holy holy holy holy holy is the lord god almighty is the lord god almighty,312,177,44,4,129
12,Christian,Chris Tomlin,Indescribable,we do not have the lyrics for indescribable yet,9,3,0,0,3
13,Christian,MercyMe,Word of God Speak,im finding myself at a loss for words and the funny thing is its okay the last thing i need is to be heard but to hear what you would say word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness word of god speak im finding myself in the midst of you beyond the music beyond the noise all that i need is to be with you and in the quiet hear your voice word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness im finding myself at a loss for words and the funny thing is its okay,188,95,7,5,83
14,Christian,Chris Tomlin,Jesus Messiah,we do not have the lyrics for jesus messiah yet,10,4,0,0,4
15,Christian,Chris Tomlin,I Will Rise,we do not have the lyrics for i will rise yet,11,3,0,0,3
16,Christian,Chris Tomlin,Amazing Grace (My Chains Are Gone),amazing grace how sweet the sound that saved a wretch like me i once was lost but now im found was blind but now i see twas grace that taught my heart to fear and grace my fears relieved how precious did that grace appear the hour i first believed my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace the lord has promised good to me his word my hope secures he will my shield and portion be as long as life endures my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace the earth shall soon dissolve like snow the sun forbear to shine but god who called me here below will be forever mine will be forever mine you are forever mine,183,102,33,5,64
17,Christian,Third Day,Cry Out To Jesus,to everyone whos lost someone they love long before it was their time you feel like the days you had were not enough when you said goodbye and to all of the people with burdens and pains keepin you back from your life you believe that theres nothing and there is no one who can make it right there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing hell meet you wherever you are cry out to jesus cry out to jesus for the marriage thats struggling just to hang on have lost all of their faith in love and theyve done all they can to make it right again still its not enough for the ones who cant break the addictions and chains you try to give up but you come back again just remember that youre not alone in your shame and your suffering there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing hell meet you wherever you are cry out to jesus when youre lonely and it feels like the whole world is falling on you you just reach out you just cry out to jesus cry to jesus to the widow who suffers from being alone wipin the tears from her eyes for the children around the world without a home say a prayer tonight there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing that meets you wherever you are there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing that meets you wherever you are cry out to jesus cry out to jesus cry out to jesus cry out to jesus,324,146,21,34,91
18,Christian,Phillips Craig And Dean,Revelation Song,worthy is the lamb who was slain holy holy is he sing a new song to him who sits on heavens mercy seat worthy is the lamb who was slain holy holy is he sing a new song to him who sits on heavens mercy seat holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you clothed in rainbows of living color flashes of lightning rolls of thunder blessing and honor strength and glory and power be to you the only wise king holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you i will adore you filled with wonder awestruck wonder at the mention of your name jesus your name is power breath and living water such a moment mystery oh youre worthy mystery you are are worthy yes holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you i will adore you,222,103,34,2,67
19,Christian,John Waller,While I'm Waiting,we do not have the lyrics for while im waiting yet,11,4,0,0,4
20,Christian,Rich Mullins,Awesome God,when he rolls up his sleeves he aint just putting on the ritz our god is an awesome god theres thunder in his footsteps and lightning in his fists our god is an awesome god and the lord wasnt joking when he kicked em out of eden it wasnt for no reason that he shed his blood his return is very close and so you better be believing that our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god and when the sky was starless in the void of the night our god is an awesome god he spoke into the darkness and created the light our god is an awesome god judgement and wrath he poured out on sodom mercy and grace he gave us at the cross i hope that we have not too quickly forgotten that our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god  our god is an awesome god he reigns from heaven above  he reigns from heaven above with wisdom power and love  with wisdom power and love our god is an awesome god our god is an awesome god our god is an awesome god,323,153,50,2,101
