,genre,artist,song,lyrics
0,Hip Hop/Rap,Run D.M.C.,Walk This Way,"backstroke lover always hidin' 'neath the covers till i talked to your daddy he say he said ""you ain't seen nothin' till you're down on a muffin then you're sure to be achangin' your ways"" i met a cheerleader was a real young bleeder oh the times i could reminisce 'cause the best things of lovin' with her sister and her cousin only started with a little kiss like this seesaw swingin' with the boys in the school and your feet flyin' up in the air singin' ""hey diddle diddle"" with your kitty in the middle of the swing like you didn't care so i took a big chance at the high school dance with a missy who was ready to play wasn't me she was foolin' 'cause she knew what she was doin' and i knowed love was here to stay when she told me to walk this way walk this way walk this way walk this way walk this way walk this way walk this way walk this way just gimme a kiss like this schoolgirl sweetie with a classy kinda sassy little skirt's climbin' way up the knee there was three young ladies in the school gym locker when i noticed they was lookin' at me i was a high school loser never made it with a lady till the boys told me somethin' i missed then my next door neighbor with a daughter had a favor so i gave her just a little kiss like this seesaw swingin' with the boys in the school and your feet flyin' up in the air singin' ""hey diddle diddle"" with your kitty in the middle of the swing like you didn't care so i took a big chance at the high school dance with a missy who was ready to play wasn't me she was foolin' 'cause she knew what she was doin' when she told me how to walk this way she told me to walk this way talk this way walk this way walk this way walk this way walk this way walk this way talk this way just gimme a kiss like this"
1,Hip Hop/Rap,The Notorious B.I.G.,Juicy,"intro fuck all y'all hoes get a grip motherfucker yeah this album is dedicated to all the teachers that told me i'd never amount to nothing to all the people that lived above the buildings that i was hustling in front of that called the police on me when i was just trying to make some money to feed my daughter and all the niggas in the struggle you know what i'm saying it's all good baby baby  it was all a dream i used to read word up magazine salt 'n' pepa and heavy d up in the limousine hangin pictures on my wall every saturday rap attack mr magic marley marl i let my tape rock til my tape popped smokin weed and bambu sippin on private stock way back when i had the red and black lumberjack with the hat to match remember rappin duke duhha duhha you never thought that hip hop would take it this far now i'm in the limelight cause i rhyme tight time to get paid blow up like the world trade born sinner the opposite of a winner remember when i used to eat sardines for dinner peace to ron g brucey b kid capri funkmaster flex lovebug starski wassup i'm blowin up like you thought i would call the crib same number same hood that's right it's all good it's aaalll good and if you don't know now you know nigga hook you know very well who you are don't let em hold you down reach for the stars you had a goal but not that many cause you're the only one i'll give you good and plenty  i made the change from a common thief to up close and personal with robin leach and i'm far from cheap i smoke skunk with my peeps all day spread love it's the brooklyn way the moet and alizé keep me pissy girls used to diss me now they write letters cause they miss me i never thought it could happen this rappin stuff i was too used to packin gats and stuff now honeys play me close like butter play toast from the mississippi down to the east coast condos in queens indo for weeks sold out seats to hear biggie smalls speak livin life without fear puttin 5 karats in my baby girl's ears lunches brunches interviews by the pool considered a fool cause i dropped out of high school stereotypes of a black male misunderstood and it's still all good uhand if you don't know now you know nigga hook  <span class""icomment"" datachunkid""6576"" href""http//wwwsonglyricscom/annot6576"">super nintendo sega genesis when i was dead broke man i couldn't picture this 50inch screen money green leather sofa got two rides a limousine with a chauffeur phone bill about two g's flat no need to worry my accountant handles that and my whole crew is lounging celebrating every day no more public housing thinking back on my oneroom shack now my mom pimps a ac with minks on her back and she loves to show me off of course smiles every time my face is up in the source we used to fuss when the landlord dissed us no heat wonder why christmas missed us birthdays was the worst days now we sip champagne when we thirstay uh damn right i like the life i live cause i went from negative to positive and it's all it's all good and if you don't know now you know nigga "
2,Hip Hop/Rap,DR DRE,Nuthin' But A 'G' Thang,one two three and to the fo' snoop doggy dogg and dr dre is at the do' ready to make an entrance so back on up 'cause you know we're 'bout to rip shit up gimme the microphone first so i can bust like a bubble compton and long beach together now you know you in trouble ain't nuttin' but a g thang baby two loc'ed out niggaz so we're crazy 'death row' is the label that pays me unfadeable so please don't try to fade this hell yeah but uhh back to the lecture at hand perfection is perfected so i'ma let 'em understand from a young g's perspective and before me dig out a bitch i have to find a contraceptive you never know she could be earnin' her man and learnin' her man and at the same time burnin' her man now you know i ain't with that shit lieutenant ain't no pussy good enough to get burnt while i'm up in it and that's realer than real deal holyfield and now you hookers and hoes know how i feel well if it's good enough to get broke off a proper chunk i'll take a small piece of some of that funky stuff it's like this and like that and like this and uh it's like that and like this and like that and uh it's like this and like that and like this and uh dre creep to the mic like a phantom well i'm peepin' and i'm creepin' and i'm creepin' but i damn near got caught 'cause my beeper kept beepin' now it's time for me to make my impression felt so sit back relax and strap on your seatbelt you never been on a ride like this befoe with a producer who can rap and control the maestro at the same time with the dope rhyme that i kick you know and i know i flow some old funky shit to add to my collection the selection symbolizes dope take a toke but don't choke if you do you'll have no clue on what me and my homey snoop dogg came to do it's like this and like that and like this and uh it's like that and like this and like that and uh it's like this and who gives a fuck about those so just chill 'til the next episode fallin' back on that ass with a hellafied gangsta lean gettin' funky on the mic like a old batch of collard greens it's the capital s oh yes i'm fresh n double o p d o double g y d o double g ya see showin' much flex when it's time to wreck a mic pimpin' hoes and clockin' a grip like my name was dolomite yeah and it don't quit i think they in the mood for some motherfuckin' g shit  hell yeah so dre whattup dogg gotta give em what they want what's that g we gotta break em off somethin' hell yeah and it's gotta be bumpin' city of compton it's where it takes place so when asked yo' attention mobbin' like a muh'fucker but i ain't lynchin' droppin' the funky shit that's makin' the sucka niggaz mumble when i'm on the mic it's like a cookie they all crumble try to get close and your ass'll get smacked my motherfuckin' homie doggy dogg has got my back never let me slip 'cause if i slip then i'm slippin' but if i got my nina then you know i'm straight trippin' and i'ma continue to put the rap down put the mack down and if you bitches talk shit i'll have to put the smack down yeah and you don't stop i told you i'm just like a clock when i tick and i tock but i'm never off always on to the break of dawn c o m p t o n and the city they call long beach puttin' the shit together like my nigga d o c no one can do it better like this that and this and uh it's like that and like this and like that and uh it's like this and who gives a fuck about those so just chill 'til the next episode
3,Hip Hop/Rap,N.W.A.,Straight Outta Compton,you are now about to witness the strength of street knowledge 1 ice cube straight outta compton crazy motherfucker named ice cube from the gang called niggaz with attitudes when i'm called off i got a sawed off squeeze the trigger and bodies are hauled off you too boy if you fuck with me the police are gonna have to come and get me off your ass that's how i'm going out for the punk motherfuckers that's showing out niggaz start to mumble they want to rumble mix them and cook them in a pot like gumbo going off on a motherfucker like that with a gat that's pointed at your ass so give it up smooth ain't no telling when i'm down for a jack move here's a murder rap to keep ya dancing with a crime record like charles manson ak47 is the tool don't make me act a motherfucking fool me and you can go toe to toe no maybe i'm knocking niggaz out the box daily yo weekly monthly and yearly until them dumb motherfuckers see clearly that i'm down with the capital cpt boy you can't fuck with me so when i'm in your neighborhood you better duck 'cause ice cube is crazy as fuck as i leave believe i'm stomping but when i come back boy i'm coming straight outta compton straight outta compton straight outta compton 2 mc ren yo' ren wassup tell 'em where ya' from straight outta compton another crazy ass nigga more punks i smoke yo my rep gets bigger i'm a bad motherfucker and you know this but the pussy ass niggaz won't show this but i don't give a fuck i'mma make my snaps if not from the records from jacking or craps it's like burglary the definition is jacking or when illegally armed it's called packing shoot a motherfucker in a minute i find a good piece of pussy and go up in it so if you're at a show in the front row i'mma call you a bitch or a dirty ass 'ho you'll probably get mad like a bitch is supposed to but that shows me what you're composed to a crazy motherfucker from the street attitude legit 'cause i'm tearing up shit mc ren controls the automatic for any dumb motherfucker that starts static not the right hand 'cause i'm the hand itself every time i pull a ak off the shelf security is maximum and that's a law ren spells ren but i'm raw see 'cause i'm the motherfucking villain the definition is clear you're the witness of a killing that's taking place without a clue and once you're on the scope your ass is through look you might take it as a trip but a nigga like ren is on a gangster tip straight outta compton straight outta compton staright outta compton 3 eazye robin is his name and the boy's commin' straight outta compton is a brother that'll smother your mother and make your sister think i love her dangerous motherfucker raising hell and if i ever get caught i make bail see i don't give a fuck that's the problem i see a motherfucking cop i don't dodge him but i'm smart lay low creep a while and when i see the punk pass i smile to me it's kind of funny the attitude is showing nigga driving but don't know where the fuck he going just rolling looking for the one they call eazy but here's the flash they never seize me ruthless never seen like a shadow in the dark except when i unload you see it's fun to jump over a hesitation and hear the scream of the one who caught the lead penetration feel a little gust of wind and i'm jetting but leave a memory no one will be forgetting so what about the bitch who got shot fuck her you think i give a damn about a bitch i ain't a sucker this is an autobiography of the e and if you ever fuck with me you'll get taken by a stupid dope brother who will smother word to the motherfucker straight outta compton straight outta compton straight outta compton damn that shit was dope
4,Hip Hop/Rap,Salt-N-Pepa,Push It,ah push it ah push it oooh baby baby baby baby oooh baby baby baby baby get up on this ow baby salt and pepa's here now wait a minute y'all this dance ain't for everybody only the sexy people so all you fly mothers get on out there and dance dance i said salt and pepa's here and we're in effect want you to push it babe coolin' by day then at night working up a sweat c'mon girls let's go show the guys that we know how to become number one in a hot party show now push it ah push it push it good ah push it push it real good ah push it push it good ah push it ppush it real good hey ow push it good oooh baby baby baby baby oooh baby baby baby baby push it good push it real good ah push it ah push it yo yo yo yo babypop yeah you come here gimme a kiss better make it fast or else i'm gonna get pissed can't you hear the music's pumpin' hard like i wish you would now push it push it good push it real good push it good ppush it real good ah push it get up on this boy you really got me going you got me so i don't know what i'm doing ah push it
5,Hip Hop/Rap,Sugarhill Gang,Rappers Delight,sugarhill gang miscellaneous rappers delight i said a hip hop the hippie the hippie to the hip hip hop a you dont stop the rock it  to the bang bang boogie say up jumped the boogie to the rhythm of the boogie the beat now what you hear is not a testi'm rappin to the beat and me the groove and my friends are gonna try to move your feet see i am wonder mike and i like to say hello to the black to the white the red and the brown the purple and yellow but first i gotta bang bang the boogie to the boogie say up jump the boogie to the bang bang boogie let's rock you dont stop rock the riddle that will make your body rock well so far youve heard my voice but i brought two friends along  and next on the mike is my man hank come on hank sing that song check it out i'm the casantheova and the rest is fly ya see i go by the code of the doctor of the mix and these reasons i'll tell ya why ya see i'm six foot one and i'm tons of fun and i dress to a t ya see i got more clothes than muhammad ali and i dress so viciously i got bodyguards i got two big cars that definitely aint the wack i got a lincoln continental and a sunroof cadillac so after school i take a dip in the pool  which really is on the wall  i got a color tv so i can see the knicks play basketball hear me talkin bout checkbooks credit cards more money than a sucker could ever spend but i wouldnt give a sucker or a bum from the rucker not a dime til i made it again everybody go hotel motel holiday inn say if your girl starts actin up then you take her friend master g my mellow its on you so what you gonna do well it's on n on n on on n on the beat dont stop until the break of dawn  i said mas ter a g with a double e i said i go by the unforgettable name of the man they call the master gee well my name is known all over the world by all the foxy ladies and the pretty girls i'm goin down in history as the baddest rapper there could ever be now i'm feelin the highs and ya feelin the lows the beat starts gettin into your toes ya start poppin ya fingers and stompin your feet and movin your body while youre sittin in your seat and the damn ya start doin the freak i said dmn right outta your seat then ya throw your hands high in the air ya rockin to the rhythm shake your derriere ya rockin to the beat without a care with the sureshot mcs for the affair now im not as tall as the rest of the gang but i rap to the beat just the same i dot a little face and a pair of brown eyes all im here to do ladies is hypnotize singin on n n on n on n on the beat dont stop until the break of dawn singin on n n on n on on n on like a hot buttered a pop da pop da pop dibbie dibbie pop da pop pop ya dont dare stop come alive yall gimme what ya got i guess by now you can take a hunch and find that i am the baby of the bunch 'but that's okay i still keep in stride cause all i'm here to do is just wiggle your behind singin on n n on n on n on the beat dont stop until the break of dawn singin on n n on n on on n on rock rock yall throw it on the floor im gonna freak ya here im gonna feak ya there im gonna move you outta this atmosphere cause im one of a kind and ill shock your mind ill put tnt in your behind i said 1234 come on girls get on the floor acome alive yall agimme what ya got cause im guaranteed to make you rock i said 1234 tell me wonder mike what are you waitin for i said hip hop the hippie to the hippie  the hip hip hop a you dont stop the rock it to the bang bang the boogie say up jumped the boogie to the rhythm of the boogie the beat skiddlee beebop a we rock a scoobie doo and guess what america we love you  cause ya rocked and a rolled with so much soul you could rock till you're a hundred and one years old  i dont mean to brag i dont mean to boast but we like hot butter on our breakfast toast rock it up baby bubbah baby bubbah to the boogie da bang bang da boogie to the beat beat its so unique come on everybody and dance to the beat a hip hop  the hippie the hippie to the  hip hip hop a you dont stop rock it  rock it out baby bubbah to the boogie da bang bang the boogie to the boogie da beat i said i cant wait til the end of the week when im rappin to the rhythm of a groovy beat  and attempt to raise your body heat just blow your mind so that you cant speak and do a thing bout a rock and shuffle your feet and let it change up to a dance called the freak and when ya finally do come in to your rhythmic beat rest a little while so ya dont get weak i know a man named hank  he has more rhymes than a serious bank so come on hank sing that song to the rhythm of the boogie da bang bang da bong well im imp the dimp the ladies pimp the women fight for my delight but im the grandmaster with the three mcs that shock the house for the young ladies and when you come inside into the front you do the freak spank and do the bump and when the sucker mcs try to prove a point  we're treacherous trio we're the serious joint a from sun to sun and fro5jday to day i sit down and write a brand new rhyme because they say that miracles never cease i've created a devastating masterpiece i'm gonna rock the mike til you cant resist everybody i say it goes like this well i was comin home late one dark afternoon a reporter stopped me for a intervi+7 she said she's heard stories and she's heard fables that i'm vicious on the mike and the turntable this young reporter i did adore so i rocked some vicious rhymes like i never did before she said damn fly guy im in love with you the casanova legend must have been true i said by the way baby what's your name said i go by the name of lois lane and you could be my boyfiend you surely can just let me quit my boyfriend called superman i said he's a fairy i do suppoose flyin through the air in pantyhose he may be very sexy or even cute but he looks like a sucker in a blue and red suit i said you need a man who's got finesse and his whole name across his chest he may be able to fly all through the night but can he rock a party til the early light he cant satisfy you with his little worm but i can bust you out with my super sperm i go do it i go do it i go do it do it do it an i'm here an i'm there i'm big bang hank im everywhere just throw your hands up in the air and party hardy like you just dont care let's do it dont stop yall a tick a tock yall you dont stop go hotel motel what you gonna do todaysay what im gonna get a fly girl gonna get some spank drive off in a def oj everybody go hotel motel holiday inn you say if your girl starts actin up then you take her friend i say skip dive what can i say i cant fit em all inside my oj so i just take half and bust them out i give the rest to master gee so he could shock the house it was twelve o'clock one friday night i was rockin to the beat and feelin all right  everybody was dancin on the floor doin all the things they never did before and then this fly fly girl with a sexy lean she came into the bar she came into the scene she traveled deeper inside the room all the fellas checked out her white sasoons she came up to the table looked into my eyes then she turned around and shook her behind so i said to myself its time for me to release my vicious rhyme i call my masterpiece  and now people in the house this is just for you a little rap to make you boogaloo now the group ya hear is called phase two and let me tell ya somethin we're a helluva crew once a week we're on the street just to cut in the jams and look at your feet for you to party ya got to have the movies so we'll get right down and make ya rock now the system's on and the girls are there ya definitely have a rockin affair but let me tell ya somethin there's still one fact and to have a party ya got to have a rap so when the party's over you're makin it home and tryin to sleep before the break of dawn and while ya sleepin ya start to dream and thinkin how ya danced on the disco scene my name appears in your mind yeah a name you know that was right on time it was phase two just a doin a do rockin ya down cause ya know we could to the rhythm of the beat that makes ya freak come alive girls get on your feet to the rhythm of the beat to the beat the beat to the double beat beat that it makes ya freak to the rhythm of the beat that says ya go on on n on into the break of dawn now i got a man comin on right now he's guaranteed to throw down he goes by the name of wonder mike come on wonder mike do what ya like i say a can of beer that's sweeter than honey like a millionaire that has no money like a rainy day that is not wet like a gamblin fiend that does not bet like dracula with out his fangs like the boogie to the boogie without the b oogie bang like collard greens that dont taste good like a tree that's not made out of wood like goin up and not comin down is just like the beat without the sound no sound to the beat beat ya do the freak everybody just rock and dance to the beat have you ever went over a friends house to eat and the food just aint no good i mean the macaroni's soggy the peas are mushed and the chicken tastes like wood so you try to play it off like you think you can by sayin that youre full and then your friend says momma he's just being polite he aint finished uh uh that's bull so your heart starts pumpin and you think of a lie and you say that you already ate and your friend says man there's plenty of food so you pile some more on your plate while the stinky foods steamin your mind starts to dreamin of the moment that it's time to leave and then you look at your plate and your chickens slowly rottin into something that looks like cheese oh so you say that's it i got to leave this place i dont care what these people think im just sittin here makin myself nauseous with this ugly food that stinks so you bust out the door while its still closed still sick from the food you ate and then you run to the store for quick relief from a bottle of kaopectate and then you call your friend two weeks later to see how he has been and he says i understand about the food baby bubbah but we're still friends with a hip hop the hippie to the hippie the hip hip a hop a you dont stop the rockin to the bang bang boogie say up jump the boogie to the rhythm of the boogie the beat i say hank can ya rock  can ya rock to the rhythm that just dont stop can ya hip me to the shoobie doo i said come on make the make the people move i go to the halls and then ring the bell because i am the man with the clientele and if ya ask me why i rock so well a big bang i got clientele and from the time i was only six years old i never forgot what i was told it was the best advice that i ever had it came from my wise dear old dad he said sit down punk i wanna talk to you and dont say a word until im through now there's a time to laugh a time to cry a time to live and a time to die a time to break and a time to chill to act civilized or act real ill but whatever ya do in your lifetime ya never let a mc steal your rhyme so from six to six til this very day ill always remember what he had to say so when the sucker mcs try to chump my style i let them know that i'm versatile i got style finesse and a little black book that's filled with rhymes and i know you wanna look but the thing that separates you from me and that's called originality because my rhymes are on from what you heard i didnt even bite and not a go  word and i say a little more later on tonight so the suker mcs can bite all night a tick a tock yall a beat beat yall a lets rock yall ya dont stop ya go hotel motel whatcha gonna do today say what ya say im gonna get a fly girl gonna get some spankin drive off in a def oj everybody go hotel motel holiday inn ya say if your girl starts actin up then you take her friends a like that yall to the beat yall beat beat yall ya dont stop a master gee my mellow its on you so whatcha gonna do well like johnny carson on the late show a like frankie croker in stereo well like the barkay's singin holy ghost the sounds to throw down they're played the most  its like my man captain sky whose name he earned with his super sperm we rock and we dont stop get off yall im here to give you whatcha got to the beat that it makes you freak and come alive girl get on your feet a like a perry mason without a case like farrah fawcett without her face  like the barkays on the mike like gettin right down for you tonight like movin your body so ya dont know how right to the rhythm and throw down  like comin alive to the master gee the brother who rocks so viciously i said the age of one my life begun at the age of two i was doin the do at the age of three it was you and me rockin to the sounds of the master gee at the age of four i was on the floor givin all the freaks what they bargained for at the age of five i didnt take no jive with the master gee its all the way live at the age of six i was a pickin up sticks rappin to the beat my stick was fixed at the age of seven i was rockin in heaven dontcha know i went off i gotta run on down to the beat you see gettin right on down makin all the girls just take of their clothes to the beat the beat to the double beat beat that makes you freak at the age of eight i was really great cause every night you see i had a date at the age of nine i was right on time cause every night i had a party rhyme goin on n n on n on on n on the beat dont stop until the break of dawn a sayin on n n on n on on n on like a hot buttered de pop de pop de popcorn
6,Hip Hop/Rap,Grandmaster Flash,The Message,it's like a jungle sometimes it makes me wonder how i keep from going under it's like a jungle sometimes it makes me wonder how i keep from going under broken glass everywhere people pissing on the stairs you know they just don't care i can't take the smell i can't take the noise got no money to move out i guess i got no choice rats in the front room roaches in the back junkie's in the alley with a baseball bat i tried to get away but i couldn't get far cause a man with the towtruck repossessed my car don't push me cause i'm close to the edge i'm trying not to loose my head it's like a jungle sometimes it makes me wonder how i keep from going under standing on the front stoop hangin' out the window watching all the cars go by roaring as the breezes blow crazy lady livin' in a bag eating out of garbage piles used to be a faghag said she danced the tango skipped the light fandango a zircon princess seems to have lost her senses down at the peepshow watching all the creeps so she can tell the stories to the girls back home she went to the city and got social security she had to get a pimp she couldn't make it on her own don't push me cause i'm close to the edge i'm trying not to loose my head it's like a jungle sometimes it makes me wonder how i keep from going under my brother's doing bad stole my mother's tv says she watches to much is just not healthy all my children in the daytime dallas at night can't even see the game or the sugar ray fight bill collectors they ring my phone and scare my wife when i'm not home got a bum education doubledigit inflation can't take the train to the job there's a strike at the station neon king kong standin' on my back can't stop to turn around broke my sacroiliac midrange migrained cancered membrane sometimes i think i'm going insane i swear i might hijack a plane don't push me cause i'm close to the edge i'm trying not to loose my head it's like a jungle sometimes it makes me wonder how i keep from going under my son said daddy i don't wanna go to school cause the teacher's a jerk he must think i'm a fool and all the kids smoke reefer i think it'd be cheaper if i just got a job learned to be a street sweeper i dance to the beat shuffle my feet wear a shirt and tie and run with the creeps cause it's all about money ain't a damn thing funny you got to have a car in this land of milk and honey they push that girl in front of a train took her to a doctor sowed the arm on again stabbed that man right in his heart gave him a transfer for a brand new start i can't walk through the park cause it's crazy after the dark keep my hand on the gun cause they got me on the run i feel like an outlaw broke my last glass jaw hear them say you want some more livin' on a seasaw don't push me cause i'm close to the edge i'm trying not to loose my head say what it's like a jungle sometimes it makes me wonder how i keep from going under it's like a jungle sometimes it makes me wonder how i keep from going under it's like a jungle sometimes it makes me wonder how i keep from going under it's like a jungle sometimes it makes me wonder how i keep from going under a child is born wih no state of mind blind to the ways of mankind god is smiling on you but he's frowning too cause only god knows what you go through you grow in the ghetto living second rate and your eyes will sing a song of deep hate the places you play and where you stay looks like one great big alley way you'll admire all the number book takers; thugs pimps and pushers and the big money makers driving big cars sp twenties and tens and you wanna grow up to be just like them smugglers scrambles burglars gamblers pickpockets peddlers and even panhandlers you say i'm cool i'm no fool but then you wind up dropping out of high school now you're unemployed or nonvoid walking around like you're pretty boy floyd turned stickup kid look what you done did got send up for a eight year bid now your man hood is took and you're a maytag spend the next two years as an undercover fag being used and abused and served like hell till one day you was find hung dead in a cell it was plain to see that your life was lost you was cold and your body swung back and forth but now your eyes sing the sad sad song of how you lived so fast and died so young so don't push me cause i'm close to the edge i'm trying not to loose my head it's like a jungle sometimes it makes me wonder how i keep from going under it's like a jungle sometimes it makes me wonder how i keep from going under
7,Hip Hop/Rap,Snoop Doggy Dogg,Gin And Juice,snoop doggy dogg miscellaneous gin and juice gin and juice  intro dre  man pissing heah hah hah i'm serious nigga one of y'all niggaz got this ass motherfuckin up aiy baby aiy baby aiy baby get some bubblegum in this motherfucker steady long steady long nigga  verse one snoop  with so much drama in the lbc it's kinda hard bein snoop dodoubleg but i somehow some way keep comin up with funky ass shit like every single day may i kick a little something for the g's yeah and make a few ends as yeah i breeze through two in the mornin and the party's still jumpin cause my momma ain't home i got bitches in the living room gettin it on and they ain't leavin til six in the mornin six in the mornin so what you wanna do sheeeit i got a pocket full of rubbers and my homeboys do too so turn off the lights and close the doors but but what we don't love them hoes yeah so we gonna smoke a ounce to this g's up hoes down while you motherfuckers bounce to this    rollin down the street smokin indo sippin on gin and juice laid back with my mind on my money and my money on my mind  verse two  now that i got me some seagram's gin everybody got they cups but they ain't chipped in now this types of shit happens all the time you got to get yours but fool i gotta get mine everything is fine when you listenin to the dog i got the cultivating music that be captivating he who listens to the words that i speak as i take me a drink to the middle of the street and get to mackin to this bitch named sadie sadie she used to be the homeboy's lady oh that bitch eighty degrees when i tell that bitch please raise up off these nut's cause you gets none of these at ease as i mob with the dogg pound feel the breeze beeeitch i'm just   verse three  later on that day my homey dr dre came through with a gang of tanqueray and a fat ass j of some bubonic chronic that made me choke shit this ain't no joke i had to back up off of it and sit my cup down tanqueray and chronic yeah i'm fucked up now but it ain't no stoppin i'm still poppin dre got some bitches from the city of compton to serve me not with a cherry on top cause when i bust my nut i'm raisin up off the cot don't get upset girl that's just how it goes i don't love you hoes i'm out the do' and i'll be   rollin down the street smokin indo sippin on gin and juice beeotch laid back with my mind on my money and my money on my mind rollin down the street smokin indo sippin on gin and juice beeotch laid back with my mind on my money and my money on my mind
8,Hip Hop/Rap,Tupac,I Get Around*,aw yeah i get around still clown with the underground when we come around stronger than ever back to get wreck all respect to those who break their neck to keep their hoes in check 'cause oh they sweat a brother majorly and i don't know why your girl keeps paging me she tell me that she needs me cries when she leaves me and every time she sees me she squeeze me lady take it easy hate to sound sleazy but tease me i don't want it if it's that easy aiyo bust it baby got a problem saying bye bye just another hazard of a fly guy you ask why don't matter my pockets got fatter now everybody's looking for the latter and ain't no need in being greedy if you wanna see me dial the beeper number baby when you need me and i'll be there in a jiffy don't be picky just be happy with this quickie but when you learn you can't tie me down baby doll check it out i get around what you mean you don't know incomprehensible i get around the underground just don't stop for hoes i get around still down with the underground incomprehensible i get around yeah ayo shock let them hoes know now you can tell from my ever day fits i ain't rich so cease and desist with them tricks i'm just another black man caught up in the mix trying to make a dollar out of fifteen cents just 'cause i'm a freak don't mean that we could hit the sheets baby i can see that you don't recognize me i'm shock g the one who put the satin on your panties never knew a hooker that could share me i get incomprehensible what's up love how you doing well i've been hanging sanging trying to do my thang oh you heard that i was banging your home girl you went to school with that's cool but did she tell you about her sister and your cousin thought i wasn't see weekends were made for michelob but it's a monday my day so just let me hit it yo and don't mistake my statement for a clown we can keep in the down low long as you know that i get around tupacalypse now don't stop for hoes i get around and round they go why i ain't call you ha ha please finger tips on the hips as i dip gotta get a tight grip don't slip loose lips sink ships it's a trip i love the way she licks her lips see me jocking put a little twist in her hips 'cause i'm watching conversations on the phone 'til the break of dawn now we all alone why the lights on turn 'em off time to set it off get you wet and soft something's on your mind let it off you don't know me you just met me you won't let me well if i couldn't have it why you sweating me it's a lot of real gs doing time 'cause a groupy bit the truth and told a lie you picked the wrong guy baby if you're too fly you need to hit the door search for a new guy 'cause i only got one night in town break out or be clown baby doll are you down i get around round and round round we go round and round round we go round and round round we go round and round round we go round and round round we go round and round round we go round and round round we go round and round we go
9,Hip Hop/Rap,50 CENT,In da Club,"go go go go go go go shawty it's your birthday we gon' party like it's your birthday we gon' sip bacardi like it's your birthday and you know we don't give a it's not your birthday you can find me in da club bottle full of bub mama i got what you need if you need to feel a buzz i'm into having sex i ain't into making love so come give me a hug if you into getting rubbed you can find me in da club bottle full of bub mama i got what you need if you need to feel a buzz i'm into having sex i ain't into making love so come give me a hug if you into getting rubbed when i pull up out front you see the benz on dubs when i roll 20 deep it's always drama in da club n i heard i roll with dre everybody show me love when you sell like eminem you get plenty of groupie love but homie ain't nothing change hoes down g's up i see xzibit in the cutt that roll that up if you watch how i move you'll mistake me for a playa or pimp been hit wit a few but i don't walk with a limp in the hood then the ladies saying ""50 you hot"" they like me i want them to love me like they love 'pac but holla in new york they surely will tell ya i'm loco and the plan is to put the rap game in a choke hold i'm feelin' focused man my money on my mind i got a mill out the deal and i'm still on the grind now shawty said she feeling my style she feeling my flow her girlfriend willin' to get bi and they ready to go you can find me in da club bottle full of bub mama i got what you need if you need to feel a buzz i'm into having sex i ain't into making love so come give me a hug if you into getting rubbed you can find me in da club bottle full of bub mama i got what you need if you need to feel a buzz i'm into having sex i ain't into making love so come give me a hug if you into getting rubbed my flow my show brought me the dough that bought me all my fancy things my crib my cars my pools my jewels look homey i done came up and i ain't change and you should love it way more then you hate it oh you mad i thought that you'd be happy i made it i'm that cat by the bar toasting to the good life moved out the hood now trying to pull me back right when my junk get to pumpin' in da club it's on i wink my eye at ya chick if she smiles she gone if the roof on fire man just let it burn if you're talking 'bout money homie i ain't concerned i'm a tell you what banks told me 'cause go 'head switch the style up and if they hate then let 'em hate then watch the money pile up or we can go upside their head with a bottle of bub come on they know where we be you can find me in da club bottle full of bub mama i got what you need if you need to feel a buzz i'm into having sex i ain't into making love so come give me a hug if you into getting rubbed you can find me in da club bottle full of bub mama i got what you need if you need to feel a buzz i'm into having sex i ain't into making love so come give me a hug if you into getting rubbed don't try to act like you don't know where we been neither we in the club all the time it's about to pop off shady aftermath"
