,genre,artist,song,lyrics
0,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevine,i bet youre wondering how i knew bout youre plans to make me blue with some other guy you knew before between the two of us guys you know i love you more it took me by surprise i must say when i found out yesterday dont you know that i heard it through the grapevine not much longer would you be mine oh i heard it through the grapevine oh and im just about to lose my mind honey honey yeah heard it through the grapevine not much longer would you be mine baby i know that a man aint supposed to cry but these tears i cant hold inside losin you would end my life you see cause you mean that much to me you could have told me yourself that you love someone else instead i heard it through the grapevine not much longer would you be mine oh i heard it through the grapevine and im just about to lose my mind honey honey well heard it through the grapevine not much longer would you be mine baby people say believe half of what you see son and none of what you hear but i cant help bein confused if its true please tell me dear do you plan to let me go for the other guy you loved before dont you know i heard it through the grapevine not much longer would you be mine baby i heard it through the grapevine ooh im just about to lose my mind honey honey yeah heard it through the grapevine not much longer would you be mine baby honey honey i know that youre letting me go i said i heard through the grapevine ooh heard it through the grapevine
1,Rhythm and Blues,Ray Charles,What'd I Say,hey mama dont you treat me wrong come and love your daddy all night long all right now hey hey all right see the girl with the diamond ring she knows how to shake that thing all right now now now hey hey hey hey tell your mama tell your pa im gonna send you back to arkansas oh yes mam you dont do right dont do right aw play it boy when you see me in misery come on baby see about me now yeah all right all right aw play it boy when you see me in misery come on baby see about me now yeah hey hey all right see the girl with the red dress on she can do the birdland all night long yeah yeah whatd i say all right well tell me whatd i say yeah tell me whatd i say right now tell me whatd i say tell me whatd i say right now tell me whatd i say tell me whatd i say yeah and i wanna know baby i wanna know right now anda i wanna know and i wanna know right now yeah anda i wanna know said i wanna know yeah hey dont quit now cmon honey naw i got i uhuhuh im changing stop stop well do it again wait a minute wait a minute oh hold it hold it hold it hey hey ho ho hey hey ho ho hey hey ho ho hey oh one more time just one more time say it one more time right now just one more time say it one more time now just one more time say it one more time yeah just one more time say it one more time just one more time say it one more time yeah just one more time hey hey ho ho hey hey ho ho hey hey ho ho hey ah make me feel so good make me feel so good make me feel so good now yeah make me feel so good woah baby make me feel so good make me feel so good yeah make me feel so good make me feel so good make me feel so good make me feel so good yeah make me feel so good huh huh ho ho huh huh ho ho huh huh ho ho huh awh its all right baby its all right said that its all right right now baby its all right said that its all right baby its all right said that its all right yeah baby its all right said that its all right baby its all right said that its all right baby its all right woah shake that thing now baby shake that thing baby shake that thing now now baby shake that thing baby shake that thing baby shake that thing baby shake that thing right now baby shake that thing baby shake that thing baby shake that thing baby shake that thing baby shake that thing woah i feel all right now yeah make me feel all right said i feel all right now make me feel all right woooah make me feel all right tell you i feel all right make me feel all right said i feel all right make me feel all right baby i feel all right make me feel all right
2,Rhythm and Blues,James Brown,Papa's Got A Brand New Bag,come here sister papas in the swing he aint too hip about that new breed babe he aint no drag papas got a brand new bag come here mama and dig this crazy scene hes not too fancy but his line is pretty clean he aint no drag papas got a brand new bag hes doing the jerk hes doing the fly dont play him cheap cause you know he aint shy hes doing the monkey the mashed potatoes jump back jack see you later alligator come here sister papas in the swing he aint too hip now but i can dig that new breed babe he aint no drag hes got a brand new bag oh papa hes doing the jerk papa hes doing the jerk hes doing the twist just like this hes doing the fly evry day and evry night the things like the boomerang hey come on hey hey come on hey hey hes set you up tight out of sight come on see what you know come on see what you know i just want you incomprehensible now let me now let me tell you what to do hes doing the jerk hes doing the fly dont play him cheap cuse you know he aint shy doing the monkey the mashed potatoes jump back jack see you later alligator come here sister
3,Rhythm and Blues,Big Joe Turner,Shake Rattle and Roll,get outta that bed wash your face and hands get outta that bed wash your face and hands well you get in that kitchen make some noise with the pots n pans way you wear those dresses the sun comes shinin through way you wear those dresses the sun comes shinin through i cant believe my eyes all that mess belongs to you i believe to the soul youre the devil and now i know i believe to the soul youre the devil and now i know well the more i work the faster my money goes i said shake rattle and roll shake rattle and roll shake rattle and roll shake rattle and roll well you wont do right to save your doggone soul alright im like a oneeyed cat peepin in a seafood store im like a oneeyed cat peepin in a seafood store well i can look at you till you aint no child no more shake shake rattle and roll shake shake rattle and roll yeah yeah rattle and roll yeah yeah rattle and roll you wont do nothin to save your doggone soul shake rattle and roll roll roll roll
4,Rhythm and Blues,Little Richard,Long Tall Sally,im gonna tell aunt mary about uncle john he claims he has the music but he has a lot of fun oh baby yes baby ooh baby havin me some fun tonight yeah well long tall sally shes built for speed she got everything that uncle john need oh baby yes baby ooh baby havin me some fun tonight yeah well i saw uncle john with bald head sally he saw aunt mary comin and he ducked back in the alley oh baby yes baby ooh baby havin me some fun tonight yeah well long tall sally shes built for speed she got everything that uncle john needs oh baby yes baby ooh baby havin me some fun tonight yeah well i saw uncle john with bald head sally he saw aunt mary comin and he ducked back in the alley oh baby yes baby ooh baby havin me some fun tonight yeah were gonna have some fun tonight were gonna have some fun tonight ooh have some fun tonight every things all right have some fun have me some fun tonight
5,Rhythm and Blues,Otis Redding,(Sitting On The) Dock Of The Bay,"sitting in the morning sun ill be sitting when the evening come watching the ships roll in and ill watch em roll away again yeah im sitting on the dock of the bay watching the tide roll away ooh im just sitting on the dock of the bay wasting time i left my home in georgia headed for the frisco bay i have nothing to live for look like nothings gonna come my way so im just go sit on the dock of the bay watching the tide roll away im sitting on the dock of the bay wasting time look like nothings gonna change everything still remain the same i cant do what ten people tell me to do so i guess ill remain the same yes <span class""icomment"" datachunkid""6048"" href""http//wwwsonglyricscom/annot6048"">sitting here resting my bones and this loneliness wont leave me alone yes two thousand miles i roam just to make this dock my home now im just go sit at the dock of the bay watching the tide roll away ooh sitting on the dock of the bay wasting time"
6,Rhythm and Blues,Chuck Berry,Maybellene,chuck berry miscellaneous maybellene maybellene why cant you be true oh maybellene why cant you be true youve started back doing the things you used to do as i was motivatin over the hill i saw maybellene in a coup de ville a cadillac arollin on the open road nothin will outrun my v8 ford the cadillac doin bout ninetyfive shes bumper to bumber rollin side by side maybellene why cant you be true oh maybellene why cant you be true youve started back doing the things you used to do pink in the mirror on top of the hill its just like swallowin up a medicine pill first thing i saw that cadillac grille doin a hundred and ten gallopin over that hill offhill curve a downhill strecth me and that cadillac neck by neck maybellene why cant you be true oh maybellene why cant you be true youve started back doing the things you used to do the cadillac pulled up ahead of the ford the ford got hot and wouldnt do no more it then got clody and it started to rain i tooted my horn for a passin lead the rain water blowin all under my hood i knew that was doin my motor good maybellene why cant you be true oh maybellene why cant you be true youve started back doing the things you used to do the motor cooled down the heat went down and thats when i heard that highway sound the cadillac asittin like a ton of lead a hundred and ten a half a mile ahead the cadillac lookin like its sittin still and i caught maybellene at the top of the hill maybellene why cant you be true oh maybellene why cant you be true youve started back doing the things you used to do
7,Rhythm and Blues,The Temptations,My Girl,ive got sunshine on a cloudy day when its cold outside ive got the moth of may well i guess you say what can make me feel this way my girl talkin bout my girl my girl ive got so much honey the bees envy me ive got a sweeter song than the birds in the trees well i guess you say what can make me feel this way my girl talkin bout my girl my girl i dont need no money fortune or fame i got all the riches baby one man can claim well i guess you say what can make me feel this way my girl talkin bout my girl my girl i got sunshine on a cloudy day with my girl ive even got the month of may with my girl talkin bout talkin bout my girl my girl all i can talk about is my girl my girl
8,Rhythm and Blues,Fats Domino,Blueberry Hill,i found my thrill on blueberry hill on blueberry hill when i found you the moon stood still on blueberry hill and lingered until my dream came true the wind in the willow played loves sweet melody but all of those vows we made were never to be though were apart youre part of me still for you were my thrill on blueberry hill the wind in the willow played loves sweet melody but all of those vows we made were never to be though were apart youre part of me still for you were my thrill on blueberry hill
9,Rhythm and Blues,The Isley Brothers,It's Your Thing,its your thing do what you wanna do i cant tell you who to sock it to its your thing do what you wanna do now i cant tell you who to sock it to if you want me to love you maybe i will i need you woman it aint no big deal you need love now just as bad as i do makes me no difference now who you give your thing to its your thing its your thing do what you wanna do i cant tell you who to sock it to its your thing its your thing do what you wanna do now i cant tell you who to sock it to its your thing its your thing do what you wanna do i cant tell you who to sock it to im not trying to run your life i know you wanna do whats right ah give your love girl do whatever you choose how can you lose with the stuff you use its your thing its your thing do what you wanna do i cant tell you who to sock it to its your thing its your thing do what you wanna do dont let me tell you who to sock it to let me hear you say its my thing its your thing i do what i wanna do
