,genre,artist,song,lyrics
0,Rock,Black Sabbath,Paranoid,finished with my woman because she couldn't help me with my mind people think i'm insane because i am frowning all the time all day long i think of things but nothing seems to satisfy think i'll lose my mind if i don't find something to pacify  can you help me occupy my brain oh yeah  i need someone to show me the things in life that i can't find i can't see the things that make true happiness i must be blind  make a joke and i will sigh and you will laugh and i will cry happiness i cannot feel like love to me is so unreal  and so as you hear these words telling you now of my state i tell you to enjoy life i wish i could but it's too late
1,Rock,Nirvana,Smells Like Teen Spirit .,load up on guns and bring your friends it's fun to lose and to pretend she's overbored and selfassured oh no i know a dirty word hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay i'm worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay and i forget just why i taste oh yeah i guess it makes me smile i found it hard it's hard to find oh well whatever nevermind hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido a denial a denial a denial a denial a denial a denial a denial a denial a denial
2,Rock,Santana,Whole Lotta Love,you need coolin' baby i'm not foolin' i'm gonna send you back to schoolin' way down inside honey you need it i'm gonna give you my love i'm gonna give you my love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love you've been learnin' baby i bean learnin' all them good times baby baby i've been yearnin' way way down inside honey you need it i'm gonna give you my love i'm gonna give you my love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love you've been coolin' baby i've been droolin' all the good times baby i've been misusin' way way down inside i'm gonna give you my love i'm gonna give you every inch of my love gonna give you my love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love way way down inside woman you need love shake for me girl i wanna be your back door man keep it coolin' baby keep it coolin' baby keep it coolin' baby
3,Rock,Aerosmith,Walk This Way [Live],backstroker lover always hidin' 'neath the covers 'till you talked to my daddy he say he said you ain't seen nothin' 'till you're down on a muffin then you're sure to be a changin' your way i met a cheerleader was a real young bleeder oh the times i could reminisce oh the best thing a lover wit her sister and her cousin started with a little kiss like this seesaw swingin' with the boys in the school with your feet flyin' up in the air singin' hey diddle diddle with your kitty in the middle of the swing like i didn't care so i took a big chance at the high school dance missy who was ready to play wasn't me she was foolin' she knew what she was doin' told me how to walk this way told me to walk this way talk this way walk this way talk this way she told me to walk this way talk this way walk this way talk this way well just gimme a like this schoolgirl sweetie with a classy little sassy got her skirt climbin' way up her knee there was three young ladies in the school gym locker when i noticed they was lookin' at moi was a high school loser never made it with a lady 'till the boys told me somethin' i missed then a next door neighbor with a daughter had a favor i gave her just a little kiss like this seesaw swingin' with the boys in the school with your feet flyin' up in the air singin' hey diddle diddy aa diddle diddle like you didn't care so i took a big chance at the high school dance missy who was ready to play wasn't me she was foolin' she knew what she was doin' told me how to walk this way told me to walk this way walk this way walk this way walk this way walk this way walk this way walk this way just gimme a kiss like this yeah yeah yeah
4,Rock,Deep Purple,Smoke On the Water,we all came out to montreux on the lake geneva shoreline to make records with a mobile we didn't have much time frank zappa and the mothers were at the best place around but some stupid with a flare gun burned the place to the ground smoke on the water fire in the sky smoke on the water they burned down the gambling house it died with an awful sound funky claude was running in and out pulling kids out the ground when it all was over we had to find another place but swiss time was running out it seemed that we would lose the race smoke on the water fire in the sky smoke on the water we ended up at the grand hotel it was empty cold and bare but with the rolling truck stones thing just outside just making our music there with a few red lights and a few old beds we made a place to sweat no matter what we get out of this i know i know we'll never forget smoke on the water fire in the sky smoke on the water
5,Rock,Van Halen,Runnin' with the Devil,yeah yeah ah yeah i live my life like there's no tomorrow and all i've got i had to steal least i don't need to beg or borrow yes i'm livin' at a pace that kills ooh yeah  ahh runnin' with the devil  ahhhah yeah  woohoooo runnin' with the devil yes i'm yeah hoo ooh you know i i found the simple life ain't so simple when i jumped out on that road i got no love no love you'd call real ain't got nobody waitin' at home ahh yeah runnin' with the devil  hold on hold on i'm runnin' ah yeah runnin' with the devil ooh ooh one more time  hayeah runnin' with the devil  oh yeah yayeah runnin' with the devil  woo woo runnin' with the devil  i'll tell you about it i found the simple life it's so simple when i jumped out on that road i got no love no love you'd call real ain't got nobody waitin' at home  hayeah runnin' with the devil  oh yeah runnin' with the devil  ahha yeah ahha yeah ahhah yeah runnin' with the devil
6,Rock,Motorhead,Ace Of Spades,"motorhead miscellaneous ace of spades ""ace of spades"" by motorhead if you like to gamble i tell you i'm your man you win some lose some it's all the same to me the pleasure is to play it makes no difference what you say i don't share your greed the only card i need is the ace of spades the ace of spades playin' for the high one dancin' with the devil going with the flow it's all a game to me 7 or 11 snake eyes watching you double up or quit double stake or split the ace of spades the ace of spades you know i'm born to lose and gamblin's made for fools but that's the way i like it baby i don't want to live forever and don't forget the joker pushing up the ante i know you got to see me read 'em and weep the dead man's hand again i see it in your eyes take one look and die the only thing you see you know it's gonna be the ace of spades the ace of spades"
7,Rock,METALLICA,Enter Sandman,say your prayers little one don't forget my son to include everyone i tuck you in warm within keep you free from sin 'til the sandman he comes yeah sleep with one eye open grippin' your pillow tight exit light enter night take my hand off to never never land something's wrong shut the light heavy thoughts tonight and they aren't of snow white dreams of war dreams of liars dreams of dragons fire and of things that will bite yeah sleep with one eye open grippin' your pillow tight exit light enter night take my hand off to never never land now i lay me down to sleep now i lay me down to sleep pray the lord my soul to keep pray the lord my soul to keep if i die before i wake if i die before i wake pray the lord my soul to take pray the lord my soul to take hush little baby don't say a word and never mind that noise you heard it's just the beasts under your bed in your closet in your head exit light enter night grain of sand exit light enter night take my hand off to never never land we're off to never never land  take my hand we're off to never never land  take my hand we're off to never never land
8,Rock,The Who,Won't Get Fooled Again,we do not have the lyrics for won't get fooled again yet
9,Rock,Twisted Sister,I Wanna Rock,"i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock turn it down you say well all i got to say to you is time and time again i say ""no"" no no no no no no tell me not to play well all i got to say to you when you tell me not to play i say ""no"" no no no no no no so if you ask me why i like the way i play it there's only one thing i can say to you i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock there's a feelin' that i get from nothin' else and there ain't nothin' in the world that makes me go go go go go go go turn the power up i've waited for so long so i could hear my favorite song so let's go go go go go go go when it's like this i feel the music shootin' through me there's nothin' else that i would rather do i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock"
